Company,Model,Engine Type,Engine Capacity,HorsePower,Top Speed (km/h),0-100 km/h (s),Price ($),Fuel Type,Seats,Torque (Nm),Transmission,Drive,Year,Fuel Efficiency (L/100km)
Geely,Q7,Petrol,3.0L,1187,224,7.5,242997,Diesel,4,1024,Automatic,RWD,2018,13.1
BYD,Model S,Electric,4.0L,850,353,11.6,141417,Hybrid,7,872,Dual Clutch,AWD,2020,4.1
Toyota,Civic,Electric,2.0L,675,260,8.3,131585,Electric,2,1236,Single Speed,FWD,2024,15.1
Suzuki,A6,Diesel,3.0L,730,271,11.8,45346,Electric,5,963,Automatic,AWD,2021,15.0
Mazda,Passat,Petrol,1.2L,918,336,10.5,234356,Petrol,2,1159,Manual,FWD,2021,9.0
Ford,Elantra,Hybrid,1.2L,1005,158,2.8,117391,Diesel,4,178,Automatic,RWD,2022,18.2
Toyota,i8,Petrol,2.0L,697,269,8.8,158635,Hybrid,4,1398,Single Speed,RWD,2024,11.5
BYD,i8,Electric,4.0L,212,151,5.2,192132,Petrol,7,1401,Manual,AWD,2022,14.0
BMW,Focus,Electric,1.5L,783,220,7.8,275609,Diesel,4,773,Automatic,FWD,2022,6.6
Mazda,Corolla,Petrol,2.0L,548,264,5.2,136943,Petrol,5,411,Single Speed,FWD,2022,10.1
Geely,E-Class,Petrol,100 kWh,634,279,5.8,260534,Hybrid,7,303,Single Speed,AWD,2022,17.7
Mazda,Ioniq 6,Hybrid,3.0L,540,141,11.3,179762,Electric,5,1084,Automatic,FWD,2020,6.6
Honda,Leaf,Hybrid,3.0L,453,147,4.5,240784,Hybrid,2,116,Single Speed,FWD,2023,9.6
Chevrolet,Camry,Petrol,82 kWh,995,389,10.8,29925,Diesel,5,575,Dual Clutch,FWD,2017,8.4
Ferrari,Defender,Petrol,1.2L,486,278,2.8,232859,Hybrid,5,1116,Manual,RWD,2020,5.6
Jaguar,Q7,Petrol,3.0L,377,263,3.4,98184,Diesel,4,309,Dual Clutch,RWD,2019,7.9
Jaguar,Taycan,Petrol,2.0L,718,367,10.6,91515,Petrol,2,598,Automatic,RWD,2022,7.0
Peugeot,Model X,Diesel,3.0L,1094,149,8.5,214330,Diesel,4,1525,Dual Clutch,FWD,2018,18.7
Mazda,X5,Petrol,2.0L,1137,351,9.6,151427,Electric,2,528,Automatic,RWD,2018,15.6
Land Rover,Q7,Hybrid,1.5L,808,251,4.5,240407,Electric,2,1201,Automatic,FWD,2024,8.4
Volvo,CX-5,Electric,82 kWh,1191,147,7.6,115854,Electric,5,1203,Single Speed,FWD,2024,16.0
Tesla,Focus,Diesel,1.2L,209,392,9.5,189981,Petrol,4,1429,Single Speed,AWD,2019,3.4
Hyundai,Model S,Petrol,3.0L,1043,153,8.5,234678,Diesel,5,157,Automatic,FWD,2020,12.0
Peugeot,i8,Electric,2.0L,1086,379,7.0,143501,Petrol,5,1331,Manual,RWD,2018,7.3
Kia,Civic,Diesel,4.0L,1022,381,11.6,131361,Hybrid,5,1258,Manual,RWD,2016,4.9
BYD,CX-5,Electric,1.2L,973,288,8.9,199811,Hybrid,2,1093,Manual,FWD,2016,18.0
Nissan,Model S,Petrol,1.5L,141,375,11.1,222892,Hybrid,4,621,Dual Clutch,RWD,2017,6.4
Kia,i8,Petrol,2.0L,176,306,9.4,102273,Hybrid,4,680,Automatic,FWD,2016,17.0
Renault,Q7,Hybrid,100 kWh,1135,159,9.5,65818,Electric,5,998,Single Speed,AWD,2015,10.0
Audi,Q7,Petrol,100 kWh,952,355,3.3,166967,Diesel,2,1206,Dual Clutch,FWD,2022,3.2
Lexus,Taycan,Petrol,82 kWh,208,274,5.9,208481,Electric,4,720,Dual Clutch,FWD,2019,15.5
Renault,Civic,Diesel,82 kWh,684,268,10.7,133642,Diesel,7,1167,Single Speed,AWD,2024,13.1
Nissan,Corolla,Hybrid,1.5L,932,385,4.7,299833,Diesel,4,1065,Automatic,RWD,2015,8.9
BYD,Tiguan,Diesel,1.5L,342,328,3.6,210428,Petrol,5,1009,Dual Clutch,AWD,2023,7.8
Toyota,F-Type,Electric,82 kWh,485,183,5.6,239083,Hybrid,7,592,Automatic,AWD,2022,4.3
Volvo,Leaf,Petrol,3.0L,575,225,4.6,110687,Diesel,2,598,Automatic,FWD,2018,19.0
Jaguar,RX 500h,Electric,3.0L,802,183,11.3,152098,Hybrid,7,1141,Automatic,FWD,2022,11.4
Kia,Focus,Diesel,2.0L,493,284,10.7,156554,Hybrid,7,704,Single Speed,AWD,2024,4.5
Mazda,X5,Petrol,4.0L,459,190,7.2,127105,Hybrid,5,1047,Automatic,RWD,2021,17.8
Mercedes,Ioniq 6,Petrol,2.0L,411,381,3.1,128884,Electric,4,393,Dual Clutch,AWD,2021,7.7
Jaguar,Focus,Diesel,4.0L,1015,190,9.3,121968,Hybrid,2,1271,Single Speed,RWD,2015,6.5
Tesla,E-Class,Diesel,1.5L,683,259,8.4,236716,Diesel,7,1595,Single Speed,AWD,2020,7.8
Lexus,CX-5,Diesel,1.2L,562,339,11.7,97001,Electric,5,271,Dual Clutch,AWD,2018,12.6
Honda,Corolla,Diesel,2.0L,261,387,7.8,54767,Hybrid,4,630,Single Speed,RWD,2024,4.3
Audi,F-Type,Diesel,2.0L,568,209,5.7,44550,Petrol,7,1243,Dual Clutch,AWD,2024,11.2
Renault,A6,Petrol,4.0L,891,196,7.4,159905,Hybrid,5,165,Manual,FWD,2024,18.2
Mercedes,Model X,Diesel,1.5L,296,178,11.8,149042,Hybrid,5,240,Dual Clutch,AWD,2016,6.2
Audi,Leaf,Petrol,1.5L,208,157,9.1,113315,Electric,5,545,Single Speed,FWD,2024,8.6
Toyota,Civic,Petrol,100 kWh,925,359,8.9,110494,Diesel,2,288,Dual Clutch,RWD,2021,9.7
Ford,Q7,Diesel,4.0L,886,383,4.8,142424,Hybrid,4,257,Manual,RWD,2023,13.0
Geely,Tiguan,Diesel,1.5L,1156,213,9.6,97681,Electric,7,769,Automatic,FWD,2019,18.6
Chevrolet,Ioniq 6,Hybrid,82 kWh,173,249,9.6,195249,Electric,4,345,Automatic,AWD,2022,9.7
Audi,Taycan,Petrol,3.0L,940,319,5.5,267411,Diesel,4,955,Automatic,FWD,2019,4.2
Geely,Camry,Diesel,100 kWh,737,171,7.1,207573,Electric,7,1043,Single Speed,FWD,2021,8.9
Renault,Taycan,Diesel,82 kWh,342,373,5.3,43900,Diesel,4,847,Manual,RWD,2021,6.2
Mazda,A6,Diesel,1.2L,1099,164,5.0,29126,Petrol,2,1156,Dual Clutch,FWD,2023,14.1
Toyota,X5,Hybrid,2.0L,253,365,2.7,126198,Hybrid,7,1484,Dual Clutch,AWD,2017,3.5
Chevrolet,Model X,Hybrid,100 kWh,1121,196,5.2,216762,Electric,7,429,Dual Clutch,FWD,2015,8.0
Audi,RX 500h,Electric,1.2L,362,319,7.8,233816,Petrol,5,611,Dual Clutch,RWD,2016,12.3
Lexus,Tiguan,Petrol,2.0L,246,371,2.5,231651,Electric,4,949,Single Speed,AWD,2020,7.7
Ferrari,E-Class,Electric,3.0L,127,203,5.2,31978,Electric,7,1194,Single Speed,RWD,2024,12.4
Jaguar,Sportage,Diesel,1.5L,377,371,10.9,71344,Petrol,7,1436,Manual,FWD,2024,5.0
Mercedes,E-Class,Hybrid,82 kWh,1046,352,8.1,278199,Electric,2,178,Dual Clutch,FWD,2023,19.0
Lexus,Leaf,Hybrid,4.0L,1198,397,8.3,90582,Electric,5,268,Automatic,RWD,2017,7.9
Land Rover,Ioniq 6,Electric,82 kWh,769,157,6.3,247459,Petrol,7,909,Single Speed,RWD,2024,18.7
Mercedes,Camry,Hybrid,3.0L,152,314,8.9,96214,Electric,2,1082,Manual,AWD,2016,8.5
BYD,Focus,Diesel,1.2L,321,368,4.3,238232,Diesel,7,279,Manual,RWD,2015,16.3
Ferrari,A6,Hybrid,4.0L,865,365,10.3,53725,Electric,7,359,Single Speed,RWD,2016,7.2
Porsche,A6,Electric,1.5L,966,223,3.6,260720,Hybrid,7,1128,Automatic,FWD,2017,14.4
Renault,Passat,Diesel,3.0L,279,385,8.7,68333,Electric,2,396,Automatic,FWD,2021,8.5
Jaguar,Mustang,Electric,4.0L,885,249,5.7,276910,Hybrid,4,719,Dual Clutch,RWD,2016,11.7
BYD,Corolla,Hybrid,3.0L,678,393,9.6,180043,Hybrid,7,954,Single Speed,RWD,2019,14.5
Suzuki,Ioniq 6,Electric,3.0L,516,227,7.7,211221,Electric,7,459,Automatic,FWD,2016,13.0
Porsche,Tiguan,Electric,1.5L,529,211,6.8,296620,Petrol,4,216,Single Speed,AWD,2021,12.8
Nissan,Ioniq 6,Petrol,100 kWh,1037,169,4.1,266831,Diesel,7,456,Manual,AWD,2024,4.1
Jaguar,Passat,Hybrid,2.0L,541,311,8.5,215122,Diesel,5,1056,Manual,AWD,2022,7.2
Porsche,Q7,Hybrid,4.0L,439,316,11.8,221598,Electric,7,538,Manual,AWD,2022,12.7
BMW,Model S,Electric,1.5L,969,278,10.3,129832,Petrol,5,1454,Single Speed,FWD,2022,3.3
Kia,Corolla,Petrol,3.0L,992,333,3.1,158190,Petrol,4,1311,Dual Clutch,RWD,2024,7.3
Nissan,F-Type,Hybrid,1.5L,206,325,6.1,196601,Diesel,2,1404,Dual Clutch,AWD,2023,6.9
Suzuki,Camry,Diesel,100 kWh,436,357,11.3,83682,Petrol,4,1589,Automatic,FWD,2015,7.2
BMW,Elantra,Electric,2.0L,981,303,7.3,238009,Electric,7,1238,Single Speed,RWD,2015,12.1
Mazda,F-Type,Hybrid,82 kWh,253,300,8.8,261553,Electric,5,1359,Dual Clutch,AWD,2024,12.9
Mercedes,Defender,Diesel,4.0L,541,152,11.2,150486,Petrol,2,1461,Single Speed,RWD,2016,18.5
Suzuki,RX 500h,Hybrid,2.0L,723,228,10.8,98030,Electric,7,621,Dual Clutch,AWD,2020,9.6
Volkswagen,Chiron,Diesel,1.2L,818,181,7.3,135360,Hybrid,2,298,Manual,RWD,2015,18.8
Peugeot,Q7,Electric,4.0L,606,349,6.7,150009,Diesel,2,1173,Manual,AWD,2019,14.1
Honda,Tiguan,Hybrid,2.0L,871,368,5.7,184737,Electric,7,1265,Automatic,AWD,2019,18.5
Mercedes,CX-5,Hybrid,3.0L,989,390,9.3,129360,Petrol,4,769,Manual,RWD,2018,17.2
Tesla,Passat,Petrol,4.0L,579,347,5.2,278894,Diesel,7,1153,Dual Clutch,RWD,2019,14.7
Tesla,Model S,Electric,4.0L,699,279,4.9,80018,Electric,7,1205,Automatic,RWD,2015,9.1
BMW,Sportage,Diesel,1.5L,1071,173,5.9,255904,Diesel,4,130,Automatic,FWD,2020,7.1
Hyundai,Leaf,Hybrid,3.0L,1166,157,4.2,151817,Petrol,5,1107,Manual,FWD,2021,6.8
Chevrolet,Civic,Hybrid,1.2L,985,196,9.1,207803,Hybrid,7,432,Single Speed,RWD,2022,19.2
Kia,Ioniq 6,Diesel,82 kWh,1103,251,8.4,101984,Hybrid,2,759,Manual,FWD,2016,19.3
Nissan,Mustang,Electric,100 kWh,221,144,7.1,207608,Electric,7,276,Manual,AWD,2021,15.3
Kia,A6,Petrol,2.0L,1098,321,6.2,27150,Hybrid,7,469,Automatic,RWD,2020,18.0
Nissan,A6,Petrol,1.5L,533,152,11.1,290550,Electric,2,646,Manual,FWD,2023,18.6
Mercedes,Defender,Hybrid,2.0L,340,398,2.8,165853,Diesel,4,634,Dual Clutch,RWD,2022,11.7
Mazda,E-Class,Diesel,1.2L,529,229,9.8,203489,Electric,5,1229,Automatic,AWD,2018,13.7
Toyota,i8,Hybrid,1.2L,174,243,11.1,33325,Electric,5,196,Manual,AWD,2023,10.1
BMW,Leaf,Diesel,4.0L,231,325,6.7,214756,Electric,2,329,Single Speed,FWD,2015,10.1
Ferrari,Sportage,Petrol,100 kWh,420,389,7.7,219541,Hybrid,4,326,Dual Clutch,AWD,2020,3.7
Land Rover,Civic,Electric,1.2L,503,394,11.5,32669,Electric,7,470,Single Speed,RWD,2022,10.4
Land Rover,F-Type,Diesel,2.0L,921,215,4.5,222836,Petrol,7,1223,Dual Clutch,FWD,2018,14.4
Suzuki,Leaf,Petrol,3.0L,209,247,7.4,147915,Electric,7,1568,Single Speed,RWD,2016,10.2
Hyundai,CX-5,Hybrid,3.0L,156,295,7.0,211681,Diesel,7,1591,Manual,RWD,2016,17.8
Tesla,Civic,Diesel,4.0L,252,221,5.0,65812,Petrol,7,154,Dual Clutch,RWD,2024,8.7
Mazda,Taycan,Electric,82 kWh,437,216,10.3,293203,Diesel,2,1318,Automatic,AWD,2015,5.3
Mercedes,Taycan,Hybrid,2.0L,198,397,11.0,267862,Diesel,7,523,Automatic,RWD,2019,16.8
Geely,Leaf,Hybrid,2.0L,739,266,9.9,186840,Diesel,7,414,Single Speed,AWD,2020,14.5
Tesla,Ioniq 6,Petrol,1.2L,218,227,4.4,40395,Petrol,4,1251,Single Speed,RWD,2018,7.1
BMW,Civic,Diesel,100 kWh,1054,343,3.3,297346,Petrol,7,131,Single Speed,AWD,2018,12.1
Tesla,Civic,Hybrid,2.0L,921,155,8.3,244707,Hybrid,5,192,Dual Clutch,AWD,2019,9.8
Hyundai,Mustang,Electric,1.5L,697,290,3.0,262181,Petrol,2,618,Automatic,AWD,2019,19.0
Jaguar,Q7,Diesel,82 kWh,515,393,8.9,219120,Electric,2,1381,Manual,RWD,2023,13.3
Lexus,Ioniq 6,Electric,1.2L,953,327,7.5,239839,Diesel,2,952,Dual Clutch,RWD,2022,5.7
Tesla,E-Class,Hybrid,1.5L,363,171,8.8,234882,Hybrid,5,1343,Single Speed,AWD,2023,11.5
BMW,Sportage,Electric,4.0L,319,144,8.1,118235,Petrol,7,851,Automatic,RWD,2017,17.7
Hyundai,Camry,Petrol,3.0L,947,308,6.5,60510,Diesel,2,1229,Single Speed,AWD,2017,14.4
Land Rover,Tiguan,Electric,4.0L,1017,320,4.4,102945,Petrol,5,515,Manual,RWD,2015,17.3
Lexus,A6,Diesel,3.0L,1044,317,5.4,257802,Hybrid,4,656,Manual,AWD,2024,7.3
Kia,Model S,Electric,4.0L,1118,282,7.5,265168,Petrol,7,1432,Automatic,AWD,2020,18.1
Nissan,Passat,Electric,2.0L,858,387,8.7,17881,Petrol,5,465,Dual Clutch,FWD,2018,15.8
Jaguar,Sportage,Petrol,1.5L,1053,266,9.9,126860,Diesel,7,1582,Manual,RWD,2022,15.4
Jaguar,Ioniq 6,Electric,3.0L,958,179,9.8,181415,Electric,4,698,Manual,RWD,2016,8.9
Chevrolet,Civic,Electric,1.2L,959,394,11.7,154728,Petrol,5,1493,Manual,FWD,2016,18.1
Porsche,Sportage,Hybrid,1.5L,139,282,5.2,282885,Hybrid,7,430,Manual,AWD,2021,13.8
Peugeot,Civic,Hybrid,1.2L,694,379,3.2,162733,Petrol,5,788,Single Speed,AWD,2019,17.5
Kia,Model S,Diesel,1.5L,944,367,5.8,117566,Petrol,2,110,Single Speed,FWD,2015,9.1
Honda,Focus,Hybrid,1.5L,540,337,9.6,86240,Electric,7,917,Dual Clutch,FWD,2021,5.5
Volvo,CX-5,Hybrid,4.0L,160,204,6.7,121898,Diesel,5,518,Automatic,AWD,2021,8.6
Audi,Sportage,Hybrid,3.0L,599,150,10.3,224304,Hybrid,2,1245,Automatic,RWD,2024,10.7
Hyundai,E-Class,Hybrid,3.0L,730,247,7.7,95522,Diesel,4,1010,Automatic,FWD,2020,12.1
Land Rover,Elantra,Petrol,100 kWh,808,165,11.3,160512,Diesel,7,1358,Manual,FWD,2018,11.7
Kia,A6,Hybrid,1.5L,795,290,11.5,134107,Diesel,7,1454,Single Speed,FWD,2022,12.3
Porsche,Passat,Petrol,2.0L,941,360,3.2,37462,Petrol,4,447,Single Speed,FWD,2016,17.3
Jaguar,Model S,Petrol,2.0L,261,376,6.8,294965,Electric,2,1057,Dual Clutch,FWD,2016,5.9
Volkswagen,Ioniq 6,Hybrid,1.2L,207,376,8.3,107889,Petrol,4,511,Automatic,FWD,2016,8.4
Audi,E-Class,Electric,1.2L,414,358,4.9,103952,Hybrid,7,1347,Single Speed,AWD,2017,18.1
Porsche,Mustang,Petrol,4.0L,1078,290,6.4,208596,Electric,5,252,Dual Clutch,AWD,2020,12.5
Kia,Elantra,Electric,1.5L,572,262,8.9,192505,Diesel,2,1335,Automatic,FWD,2015,12.9
Peugeot,A6,Electric,1.2L,272,283,4.7,236576,Electric,2,191,Manual,AWD,2016,11.1
Geely,X5,Hybrid,1.2L,642,328,8.2,234393,Hybrid,2,430,Single Speed,RWD,2024,12.3
Toyota,Taycan,Diesel,82 kWh,261,394,9.1,290455,Petrol,4,1590,Single Speed,RWD,2016,6.4
Chevrolet,Mustang,Hybrid,1.5L,74,207,3.4,269084,Petrol,4,1054,Automatic,FWD,2015,12.3
Porsche,A6,Diesel,4.0L,380,243,7.2,144466,Diesel,5,1069,Manual,RWD,2017,20.0
BYD,X5,Diesel,1.2L,618,298,5.0,45531,Petrol,5,653,Manual,RWD,2024,12.6
Ford,Q7,Hybrid,4.0L,125,229,9.4,29588,Petrol,2,1029,Single Speed,AWD,2021,3.8
Mazda,A6,Hybrid,3.0L,512,395,4.3,158452,Hybrid,5,1351,Automatic,AWD,2015,16.5
Mazda,Q7,Diesel,4.0L,939,359,11.0,188717,Electric,4,293,Dual Clutch,AWD,2021,9.7
Volvo,Leaf,Hybrid,2.0L,654,148,6.6,176929,Petrol,5,629,Single Speed,AWD,2019,5.6
Volkswagen,Taycan,Diesel,2.0L,821,151,4.4,36711,Hybrid,4,944,Manual,RWD,2023,17.7
Land Rover,Elantra,Electric,4.0L,429,383,6.7,151169,Hybrid,5,1366,Dual Clutch,FWD,2016,6.4
Kia,Q7,Hybrid,2.0L,888,321,6.4,174465,Diesel,7,1512,Automatic,AWD,2015,18.7
BMW,Chiron,Electric,3.0L,99,238,6.6,299220,Hybrid,4,1399,Manual,RWD,2023,10.5
BMW,Civic,Petrol,1.5L,177,336,8.1,175389,Diesel,7,1573,Dual Clutch,AWD,2022,15.6
Volvo,Ioniq 6,Electric,2.0L,913,365,7.5,73480,Petrol,4,738,Single Speed,RWD,2024,12.3
Porsche,Elantra,Electric,2.0L,786,242,3.9,284188,Diesel,5,577,Manual,AWD,2020,7.4
Nissan,Model S,Diesel,4.0L,960,245,3.1,265309,Hybrid,7,579,Automatic,FWD,2019,14.4
Tesla,Elantra,Electric,3.0L,1029,197,9.4,70486,Electric,5,387,Manual,AWD,2022,19.3
Kia,Q7,Hybrid,100 kWh,962,217,7.8,70162,Electric,4,797,Single Speed,FWD,2022,16.1
Ford,Q7,Diesel,100 kWh,801,214,5.9,225359,Petrol,7,794,Automatic,AWD,2019,13.3
Mercedes,Model X,Petrol,100 kWh,675,181,10.2,44882,Petrol,2,639,Single Speed,AWD,2021,19.8
Nissan,Mustang,Hybrid,100 kWh,526,320,6.2,69078,Electric,5,429,Dual Clutch,AWD,2015,7.5
Hyundai,Ioniq 6,Petrol,1.5L,684,172,10.1,253680,Diesel,4,569,Manual,RWD,2018,4.1
BMW,Chiron,Electric,4.0L,767,210,5.4,123730,Petrol,7,948,Single Speed,RWD,2016,3.5
Peugeot,X5,Hybrid,4.0L,743,195,3.2,189898,Hybrid,5,633,Dual Clutch,FWD,2024,15.1
Chevrolet,Elantra,Hybrid,82 kWh,612,244,11.4,113938,Petrol,7,566,Automatic,FWD,2017,17.1
Mazda,Model X,Petrol,3.0L,926,339,6.2,133319,Diesel,5,1076,Automatic,RWD,2015,13.8
Suzuki,X5,Hybrid,100 kWh,966,240,10.0,47543,Petrol,5,519,Dual Clutch,FWD,2016,18.4
Jaguar,Sportage,Hybrid,1.5L,347,395,5.2,139279,Hybrid,5,1245,Dual Clutch,FWD,2015,14.9
Geely,Q7,Hybrid,3.0L,621,213,8.6,44362,Hybrid,7,861,Automatic,RWD,2022,9.3
Suzuki,Passat,Electric,100 kWh,180,310,10.8,173818,Hybrid,7,1105,Single Speed,RWD,2018,6.1
Nissan,Q7,Petrol,1.5L,454,282,2.9,257721,Diesel,5,990,Dual Clutch,RWD,2017,18.7
Volvo,RX 500h,Hybrid,3.0L,830,305,10.4,180229,Diesel,2,407,Single Speed,RWD,2015,4.8
Honda,CX-5,Diesel,4.0L,763,360,7.9,157394,Hybrid,2,1023,Automatic,AWD,2016,12.2
Honda,Camry,Diesel,4.0L,474,222,8.3,84812,Hybrid,2,433,Single Speed,RWD,2017,8.3
Volvo,Mustang,Diesel,1.2L,91,321,7.5,243208,Diesel,4,1053,Single Speed,FWD,2017,7.6
Mazda,Corolla,Diesel,2.0L,747,149,10.8,294773,Diesel,2,1543,Dual Clutch,AWD,2020,14.0
Kia,A6,Electric,100 kWh,680,143,2.9,143614,Diesel,7,1449,Single Speed,AWD,2024,6.9
Toyota,Passat,Hybrid,82 kWh,77,354,5.0,111950,Electric,2,1121,Single Speed,FWD,2022,18.6
Tesla,Q7,Petrol,3.0L,771,237,10.8,189942,Diesel,7,888,Single Speed,AWD,2020,9.9
Honda,Chiron,Hybrid,82 kWh,598,240,9.6,79829,Hybrid,4,931,Automatic,FWD,2016,14.5
Hyundai,i8,Electric,1.2L,671,148,2.7,260602,Electric,7,943,Automatic,AWD,2016,15.4
Honda,CX-5,Diesel,2.0L,726,200,7.4,25588,Diesel,7,349,Manual,AWD,2021,14.6
Suzuki,CX-5,Electric,3.0L,235,285,7.5,183217,Hybrid,7,1218,Automatic,FWD,2015,18.4
Honda,Passat,Hybrid,1.5L,918,202,6.3,287743,Petrol,2,1419,Automatic,FWD,2015,6.9
Honda,RX 500h,Petrol,100 kWh,565,260,5.3,223502,Electric,5,283,Manual,FWD,2021,4.5
Toyota,Corolla,Electric,2.0L,659,365,9.0,149011,Hybrid,7,1383,Manual,FWD,2023,3.9
Toyota,Taycan,Petrol,4.0L,498,244,4.5,267856,Petrol,2,898,Dual Clutch,RWD,2019,17.9
Geely,Camry,Electric,1.2L,843,399,10.1,299293,Hybrid,2,285,Dual Clutch,RWD,2015,19.5
Land Rover,Model S,Petrol,2.0L,232,394,10.1,212639,Diesel,2,1532,Automatic,FWD,2019,8.1
Hyundai,Tiguan,Petrol,100 kWh,435,346,6.4,156280,Diesel,5,1192,Single Speed,RWD,2015,14.8
BMW,Q7,Diesel,2.0L,141,167,5.2,212170,Petrol,5,937,Dual Clutch,FWD,2024,3.2
BMW,Focus,Petrol,100 kWh,724,309,5.2,195564,Diesel,5,726,Dual Clutch,FWD,2023,6.2
Peugeot,Corolla,Diesel,4.0L,338,215,7.1,35951,Hybrid,5,958,Automatic,AWD,2018,14.7
Toyota,Model S,Hybrid,3.0L,484,255,9.3,194992,Petrol,4,107,Single Speed,FWD,2023,4.1
BYD,Q7,Hybrid,1.5L,1085,208,5.9,61766,Hybrid,5,1388,Manual,FWD,2016,11.0
Mazda,Tiguan,Diesel,4.0L,744,373,8.3,174423,Hybrid,5,882,Manual,FWD,2021,14.3
Ford,Leaf,Diesel,1.5L,1153,140,6.1,102122,Hybrid,5,874,Automatic,FWD,2016,16.0
Land Rover,Sportage,Electric,3.0L,75,306,5.4,286452,Diesel,7,1106,Automatic,AWD,2018,10.7
Audi,Leaf,Electric,2.0L,1051,357,2.7,98211,Diesel,7,1494,Single Speed,FWD,2020,13.7
Land Rover,Elantra,Electric,1.5L,639,390,2.5,141534,Hybrid,5,776,Automatic,AWD,2016,12.2
Volkswagen,Model S,Hybrid,1.2L,476,313,4.7,23720,Electric,4,1206,Automatic,FWD,2016,3.9
Suzuki,Ioniq 6,Electric,1.2L,95,309,6.4,94993,Hybrid,7,310,Automatic,AWD,2016,15.6
Honda,Q7,Petrol,100 kWh,1098,385,10.6,234973,Hybrid,2,1436,Single Speed,RWD,2017,5.9
Ford,Civic,Petrol,4.0L,1055,229,10.1,40905,Petrol,7,1460,Automatic,AWD,2019,3.5
Suzuki,X5,Electric,3.0L,459,188,5.0,219580,Hybrid,2,589,Dual Clutch,AWD,2023,10.7
Hyundai,Mustang,Petrol,100 kWh,779,289,4.8,65385,Diesel,7,1526,Single Speed,FWD,2020,17.7
Volvo,Chiron,Hybrid,4.0L,640,271,4.7,45653,Petrol,5,738,Dual Clutch,AWD,2023,5.6
Toyota,Corolla,Petrol,4.0L,823,198,5.7,106865,Electric,7,290,Single Speed,AWD,2024,3.2
Ford,CX-5,Hybrid,100 kWh,215,338,7.2,140813,Petrol,5,770,Dual Clutch,FWD,2019,4.9
Geely,Sportage,Diesel,82 kWh,854,354,6.7,160871,Electric,5,942,Single Speed,RWD,2020,9.2
Volkswagen,Model S,Diesel,4.0L,595,188,4.6,206175,Petrol,7,434,Manual,RWD,2024,12.9
Ferrari,E-Class,Diesel,82 kWh,82,371,3.7,263535,Petrol,2,1210,Automatic,RWD,2022,6.3
Ferrari,A6,Diesel,1.2L,972,386,2.6,30052,Electric,2,678,Automatic,AWD,2017,16.6
BMW,Defender,Petrol,1.2L,453,378,4.0,152116,Diesel,7,161,Single Speed,FWD,2016,15.8
Nissan,Camry,Electric,4.0L,625,307,9.2,165943,Diesel,5,486,Dual Clutch,RWD,2017,14.8
Ford,F-Type,Petrol,1.2L,956,187,4.8,235375,Diesel,2,1269,Manual,RWD,2023,11.3
Ferrari,Camry,Hybrid,3.0L,88,190,7.0,36381,Petrol,4,252,Dual Clutch,RWD,2020,9.2
Tesla,Taycan,Petrol,82 kWh,644,237,8.1,163346,Hybrid,5,718,Automatic,RWD,2024,9.4
Volvo,Camry,Petrol,82 kWh,820,355,10.9,258234,Petrol,7,797,Automatic,FWD,2018,11.6
